piece_name;question_content;answer_1_content;answer_2_content;answer_3_content;answer_4_content;correct_answer
La Vierge au coussin vert;Quelle ville a particulirement inspirŽ Solari dans ses Ïuvres ?;Venise, Italie;Seville, Espagne;Ollivaria, Argentine;Florence, Italie;Venise, Italie
La Vierge au coussin vert;Qui est reprŽsentŽ sur le tableau ?;L'Žpouse de Solario et son fils;Le tableau reprŽsente la Vierge Marie tenant l'enfant JŽsus sur ses genoux;Une femme et un enfant inconnu;La Fornarina donnant le sein ˆ son enfant;Le tableau reprŽsente la Vierge Marie tenant l'enfant JŽsus sur ses genoux
La Vierge au coussin vert;Quel autre cŽlbre peintre a ŽtŽ le ma”tre de Solari ?;Giovanni Bellini;Rapha‘l;Michel Ange;Leonard de Vinci;Leonard de Vinci
La Vierge au coussin vert;A quelle Žpoque appartient Solari ?;Le Moyen-Age;La Renaissance;l'AntiquitŽ;L'Žpoque Moderne;La Renaissance
Pietˆ;Quel artiste a initialement peint la Pietˆ, et a inspirŽ de nombreux autres artistes ?;Ma”tre de Rohan;Michel-Ange;Titien;Rosso Fiorentino;Michel-Ange
Pietˆ;Rosso Fiorentino Žtait un reprŽsentant du maniŽrime. Quelles sont les caractŽristiques de ce courant ?;L'Žmotion, l'individualisme, l'expression de la nature et des sentiments, et l'inspiration dans l'histoire, la mythologie et la littŽrature.;Des compositions dramatiques, des contrastes forts, des Žmotions intenses, des dŽtails complexes et une dŽcoration exubŽrante.;Des formes exagŽrŽes, des couleurs vives et des compositions complexes. L'accent est mis sur l'expression de l'Žmotion plut™t que sur le rŽalisme.;Une reprŽsentation rŽaliste de la nature, des sujets sociaux et des problmes de la vie quotidienne, souvent avec un ton critique et une approche scientifique.;Des formes exagŽrŽes, des couleurs vives et des compositions complexes. L'accent est mis sur l'expression de l'Žmotion plut™t que sur le rŽalisme.
Pietˆ;Quel cŽlbre ch‰teau franais Fiorentino a ŽtŽ chargŽ de dŽcorŽ par Franois 1er;Ch‰teau de Fontainebleau;Ch‰teau de Chambord;Ch‰teau de Blois;Ch‰teau de Saint-Germain en Laye;Ch‰teau de Fontainebleau
Pietˆ;Que reprŽsente La Pietˆ ?;Marie tenant sur ses genoux son fils JŽsus-Christ au moment de la descente de croix.;La Pietˆ reprŽsente une scne de la vie quotidienne dans un marchŽ animŽ de la Renaissance italienne.;La Pietˆ reprŽsente l'ap™tre Jean portant le corps de JŽsus aprs la crucifixion.;La Pietˆ reprŽsente la Vierge Marie portant le corps d'Adam dans les jardins d'Eden.;Marie tenant sur ses genoux son fils JŽsus-Christ au moment de la descente de croix.
La Joconde;Qui Žtait Francesco del Jiocondo pour Leonardo da Vinci ?;Son frre;Son cousin;Son commanditaire;Son apprenti;Son commanditaire
La Joconde;Pourquoi est-ce que Monna Lisa sourit ?;Elle adore poser;Des personnes la font rire;Elle trouve Leonardo da Vinci amusant;C'est un choix artistique;Des personnes la font rire
La Joconde;Pourquoi est-ce que Monna Lisa est jaune, et le ciel vert ?;Leonardo voulait s'amuser;Quelqu'un a repeint dessus;Il faisait particulirement moche ce jour-lˆ;Le vernis a vieilli et changŽ les couleurs;Le vernis a vieilli et changŽ les couleurs
La Joconde;Quel est l'effet sur le visage produit par les couches successives d'huile ?;Un dŽgradŽ de couleurs trs printanier;Un jaunissement de sa teinte;‚a la vieillit, la pauvre;"Un incroyable estompage appelŽ ""Sfumato""";"Un incroyable estompage appelŽ ""Sfumato"""
Les Noces de Cana;"Ce tableau s'appelle ""Les Noces de Cana"", Cana c'estÉ :";Cana reprŽsentent les c™tes italiennes sur lesquelles de sompteux mariages Žtaient organisŽs par de riches familles;Les premires noces cŽlŽbrŽes en Grce Antique;Le prŽnom de la mariŽe: Cana, fille de VŽronse le peintre de la toile;Le nom d'une ville en GalilŽe;Le nom d'une ville en GalilŽe
Les Noces de Cana;Parmis tous ces dŽtails, sauras-tu remarquer quel petit animal se balade sur la table ?;Un singe;Un petit chien;Un oiseau sauvage;Un petit veau;Un petit chien
Les Noces de Cana;Quel est le style artistique de VŽronse ?;VŽronse est un peintre de la Renaissance avec un style caractŽrisŽ par des couleurs vives, des compositions dramatiques et des dŽtails ŽlaborŽs;Le style artistique de VŽronse est le minimalisme, caractŽrisŽ par l'utilisation de couleurs sobres et de formes simples.;VŽronse Žtait un peintre expressionniste, avec un style basŽ sur l'expression des Žmotions intenses et des sentiments.;Le style artistique de VŽronse est le rŽalisme, caractŽrisŽ par une reprŽsentation exacte et prŽcise des sujets, sans ornementation ni exagŽration.;VŽronse est un peintre de la Renaissance avec un style caractŽrisŽ par des couleurs vives, des compositions dramatiques et des dŽtails ŽlaborŽs
Les Noces de Cana;O Žtait initialement exposŽ ce tableau ?;"""Les Noces de Cana"" appartenaient au Vatican";"""Les Noces de Cana"" ont ŽtŽ dŽcouvertes dans un temple ˆ Athne";"""Les Noces de Cana"" se trouvaient dans le rŽfectoire dÕun couvent de Venise";"""Les Noces de Cana"" se trouvaient dans une chappelle sur une ile au large de Naple";"""Les Noces de Cana"" se trouvaient dans le rŽfectoire dÕun couvent de Venise"
La Victoire de Samothrace;"Quelle dŽesse reprŽsente ""La Victoire de Samothrace"" ?";La dŽesse NikŽ;La dŽesse Athena;La dŽesse DŽmeter;La dŽesse ArtŽmis;La dŽesse NikŽ
La Victoire de Samothrace;Les fidles venaient demander protection ˆ cette Victoire. Contre quels dangers voulaient-ils tre protŽgŽs ?;Contre la famine;Les dangers de la guerre;Les dangers de la mer;Les dangers mŽtŽorologiques;Les dangers de la mer
La Victoire de Samothrace;Quel artiste a sculptŽ cette Ïuvre ?;Camille Claudel;Rodin;Phidias;Son sculpteur est inconnu;Son sculpteur est inconnu
La Victoire de Samothrace;En quelle annŽe cette Ïuvre a-t-elle ŽtŽ dŽcouverte ?;1863;On ne sait pas prŽcisŽment;2010;1517;1863
Le Louvre;Quelle Žtait l'usage initial du Palais du Louvre ?;Le Palais du Louvre Žtait initialement une prison pour les criminels les plus dangereux de Paris;Une forteresse afin de protŽger Paris des attaques ennemies;Le Palais du Louvre a ŽtŽ bati par Louis XIV en tant que Palais du Roi;Le Palais du Louvre Žtait ˆ l'origine un h™pital pour les malades mentaux;Une forteresse afin de protŽger Paris des attaques ennemies
Le Louvre;Quel cŽlbre artiste a utilisŽ le MusŽe du Louvre pour le tournage d'un de ses clip en 2018 ?;Madonna;BeyoncŽ;Angle;Pascal Obispo;BeyoncŽ
Le Louvre;Comment le Louvre est-il devenu un musŽe public ?;Aprs la RŽvolution franaise, le Louvre est devenu un musŽe public en 1793, sous l'impulsion du gouvernement rŽvolutionnaire qui souhaitait faire du patrimoine artistique national une propriŽtŽ publique accessible ˆ tous;Le Louvre est devenu un musŽe public gr‰ce ˆ la volontŽ du roi Louis XVI de partager ses collections d'art avec le peuple franais;Le Louvre est devenu un musŽe public suite ˆ une initiative lancŽe par NapolŽon Bonaparte pour cŽlŽbrer sa victoire ˆ la bataille d'Austerlitz;Le Louvre est devenu un musŽe public aprs que le palais a ŽtŽ abandonnŽ par les rois de France qui ont prŽfŽrŽ s'installer ailleurs;Aprs la RŽvolution franaise, le Louvre est devenu un musŽe public en 1793, sous l'impulsion du gouvernement rŽvolutionnaire qui souhaitait faire du patrimoine artistique national une propriŽtŽ publique accessible ˆ tous
